ENGLISH NAME,EASTING,NORTHING,STUDENTS GENDER,DISTRICT
HKSYC&IA WONG TAI SHAN MEM COLL,835411,821734,CO-ED,SHAM SHUI PO
KIANGSU-CHEKIANG COLLEGE (KWAI CHUNG),831148,824703,CO-ED,KWAI TSING
CARITAS CHAN CHUN HA FIELD STUDIES CTR,821895,807645,CO-ED,ISLANDS
JU CHING CHU SEC SCH (KWAI CHUNG),832548,825671,CO-ED,KWAI TSING
SKH BISHOP BAKER SECONDARY SCHOOL,821647,833569,CO-ED,YUEN LONG
PO LEUNG KUK TONG NAI KAN JUNIOR SECONDARY COLLEGE,832555,822224,CO-ED,SHAM SHUI PO
CARMEL SECONDARY SCHOOL,836556,819021,CO-ED,KOWLOON CITY
CATHOLIC MING YUEN SECONDARY SCHOOL,845258,819862,CO-ED,SAI KUNG
KOWLOON TONG SCHOOL (SECONDARY SECTION),836162,821077,CO-ED,KOWLOON CITY
CCC KEI TO SEC SCH,837661,819403,CO-ED,KOWLOON CITY
LING LIANG CHURCH M H LAU SECONDARY SCH,836336,833426,CO-ED,TAI PO
ST LOUIS SCHOOL,832216,816346,BOYS,CENTRAL AND WESTERN
HK AND MACAU LU CH QUEEN MAUD SEC SCH,845557,819832,CO-ED,SAI KUNG
ELCHK LUTHERAN SECONDARY SCHOOL,835776,819354,CO-ED,YAU TSIM MONG
HO YU COLL & PRI (SPON BY SIK SIK YUEN),812810,817234,CO-ED,ISLANDS
LOK SIN TONG WONG CHUNG MING SEC SCH,838085,821650,CO-ED,WONG TAI SIN
COTTON SPINNERS ASSOCIATION SEC SCHOOL,831323,824820,CO-ED,KWAI TSING
HKTA TANG HIN MEMORIAL SECONDARY SCHOOL,831336,839978,CO-ED,NORTH
CHONG GENE HANG COLLEGE,842487.1,814334.1,BOYS,EASTERN
SKH CHAN YOUNG SECONDARY SCHOOL,831725,840156,CO-ED,NORTH
PO LEUNG KUK LO KIT SING (1983) COLLEGE,828724,823355,CO-ED,KWAI TSING
AD&FDPOHL LEUNG SING TAK COLLEGE,831014,826348,CO-ED,TSUEN WAN
HKMA K S LO COLLEGE,818760,835389,CO-ED,YUEN LONG
TUNG WAH GROUP OF HOSPITALS WONG FUT NAM COLLEGE,836663.1,825854.7,CO-ED,SHA TIN
BUDDHIST HUNG SEAN CHAU MEMORIAL COLLEGE,839487,822153,CO-ED,WONG TAI SIN
SALEM-IMMANUEL LUTHERAN COLLEGE,835226,835111,CO-ED,TAI PO
PAOC KA CHI SECONDARY SCHOOL,814950,826037,CO-ED,TUEN MUN
HKCWC FUNG YIU KING MEM SEC SCH,841736,831420,CO-ED,SHA TIN
